state,median_income
Alabama,46257
Alaska,76440
Arizona,53558
Arkansas,44334
California,67739
Colorado,65685
Connecticut,73433
Delaware,61757
District of Columbia,75506
Florida,50860
Georgia,53559
Hawaii,74511
Idaho,51807
Illinois,60960
Indiana,52314
Iowa,56247
Kansas,54935
Kentucky,46659
Louisiana,45146
Maine,53079
Maryland,78945
Massachusetts,75297
Michigan,52492
Minnesota,65599
Mississippi,41754
Missouri,51746
Montana,50027
Nebraska,56927
Nevada,55180
New Hampshire,70936
New Jersey,76126
New Mexico,46748
New York,62909
North Carolina,50584
North Dakota,60656
Oklahoma,52334
Ohio,49176
Oregon,57532
Pennsylvania,56907
Rhode Island,60596
South Carolina,49501
South Dakota,54467
Tennessee,48547
Texas,56565
Utah,65977
Vermont,57677
Virginia,68114
Washington,67106
West Virginia,43385
Wisconsin,56811
Wyoming,59882