State,sat_req,act_req
Alabama,0,1
Alaska,0,0
Arizona,0,0
Arkansas,0,0
California,0,0
Colorado,1,0
Connecticut,1,0
Delaware,1,0
District of Columbia,1,0
Florida,0,0
Georgia,0,0
Hawaii,0,1
Idaho,0,0
Illinois,1,0
Indiana,0,0
Iowa,0,0
Kansas,0,0
Kentucky,0,1
Louisiana,0,1
Maine,1,0
Maryland,0,0
Massachusetts,0,0
Michigan,1,0
Minnesota,0,0
Mississippi,0,1
Missouri,0,1
Montana,0,1
Nebraska,0,1
Nevada,0,1
New Hampshire,1,0
New Jersey,0,0
New Mexico,0,0
New York,0,0
North Carolina,0,1
North Dakota,0,0
Ohio,0,0
Oklahoma,0,0
Oregon,0,0
Pennsylvania,0,0
Rhode Island,0,0
South Carolina,0,1
South Dakota,0,0
Tennessee,0,0
Texas,0,0
Utah,0,1
Vermont,0,0
Virginia,0,0
Washington,0,0
West Virginia,0,0
Wisconsin,0,1
Wyoming,0,1